Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2016-11-09,118,205,99,3607,118
2016-11-10,112,211,106,3626,87
2016-11-11,95,194,112,3634,104
2016-11-12,95,208,81,3651,64
2016-11-13,78,205,81,3666,66
2016-11-14,94,181,118,3668,116
2016-11-15,77,153,105,3665,108
2016-11-16,97,166,84,3649,100
2016-11-17,92,156,102,3652,99
2016-11-18,75,139,92,3600,144
2016-11-19,77,164,52,3603,49
2016-11-20,76,169,71,3601,73
2016-11-21,119,194,94,3571,124
2016-11-22,104,195,103,3578,96
2016-11-23,91,163,123,3608,93
2016-11-24,95,184,74,3588,94
2016-11-25,92,189,87,3561,114
2016-11-26,75,203,61,3573,49
2016-11-27,66,196,73,3582,64
2016-11-28,89,168,117,3589,110
2016-11-29,81,161,88,3585,92
2016-11-30,75,158,78,3571,92
2016-12-01,119,201,76,3549,98
2016-12-02,117,205,113,3553,109
2016-12-03,72,207,70,3566,57
2016-12-04,92,220,79,3575,70
2016-12-05,128,213,135,3586,124
2016-12-06,130,231,112,3588,110
2016-12-07,129,251,109,3590,107
2016-12-08,111,222,140,3652,78
2016-12-09,97,203,116,3662,106
2016-12-10,80,202,81,3676,67
2016-12-11,99,233,68,3687,57
2016-12-12,117,230,120,3702,105
2016-12-13,134,206,158,3758,102
2016-12-14,131,248,89,3737,110
2016-12-15,108,228,128,3737,128
2016-12-16,92,201,119,3772,84
2016-12-17,90,213,78,3777,73
2016-12-18,97,228,82,3781,78
2016-12-19,107,221,114,3785,110
2016-12-20,101,201,121,3794,112
2016-12-21,115,213,103,3796,101
2016-12-22,102,190,125,3828,93
2016-12-23,101,186,105,3832,101
2016-12-24,98,215,69,3849,52
2016-12-25,88,231,72,3856,65
2016-12-26,115,235,111,3861,106
2016-12-27,115,214,136,3884,113
2016-12-28,93,183,124,3887,121
2016-12-29,103,198,88,3851,124
2016-12-30,137,225,110,3850,111
2016-12-31,79,196,108,3889,69
2017-01-01,80,196,80,3920,49
2017-01-02,98,190,104,3905,119
2017-01-03,131,238,83,3893,95
2017-01-04,131,248,121,3911,103
2017-01-05,128,225,151,3951,111
2017-01-06,156,274,107,3955,103
2017-01-07,74,226,122,4014,63
2017-01-08,117,265,78,4017,75
2017-01-09,165,293,137,4030,124
2017-01-10,110,262,141,4061,110
2017-01-11,123,233,152,4111,102
2017-01-12,116,214,135,4126,120
2017-01-13,114,211,117,4135,108
2017-01-14,105,224,92,4161,66
2017-01-15,137,279,82,4177,66
2017-01-16,172,299,152,4215,114
2017-01-17,124,244,179,4262,132
2017-01-18,174,297,121,4255,128
2017-01-19,131,273,155,4295,115
2017-01-20,170,290,153,4351,97
2017-01-21,109,269,130,4393,88
2017-01-22,113,282,100,4434,59
2017-01-23,138,257,163,4436,161
2017-01-24,210,341,126,4457,105
2017-01-25,148,265,224,4532,149
2017-01-26,117,235,147,4571,108
2017-01-27,151,260,126,4559,138
2017-01-28,105,275,90,4575,74
2017-01-29,103,269,109,4597,87
2017-01-30,149,271,147,4619,125
2017-01-31,131,252,150,4618,151
2017-02-01,151,263,140,4630,128
2017-02-02,145,271,137,4652,115
2017-02-03,153,270,154,4675,131
2017-02-04,131,295,106,4692,89
2017-02-05,92,263,124,4733,83
2017-02-06,160,260,163,4762,134
2017-02-07,125,234,151,4781,132
2017-02-08,117,250,101,4716,166
2017-02-09,144,270,124,4694,146
2017-02-10,147,276,141,4687,148
2017-02-11,111,284,103,4708,82
2017-02-12,140,336,88,4711,85
2017-02-13,118,264,190,4756,145
2017-02-14,136,261,139,4772,123
2017-02-15,133,254,140,4744,168
2017-02-16,144,272,126,4730,140
2017-02-17,151,277,146,4737,139
2017-02-18,106,282,101,4758,80
2017-02-19,137,310,109,4789,78
2017-02-20,146,309,147,4803,133
2017-02-21,109,243,175,4834,144
2017-02-22,108,212,139,4846,127
2017-02-23,145,265,92,4812,126
2017-02-24,140,253,152,4829,135
2017-02-25,121,289,85,4828,86
2017-02-26,123,310,102,4851,79
2017-02-27,150,274,186,4880,157
2017-02-28,167,287,154,4885,149
2017-03-01,127,273,141,4867,159
2017-03-02,126,270,129,4832,164
2017-03-03,128,242,156,4830,158
2017-03-04,134,299,77,4835,72
2017-03-05,154,334,119,4861,93
2017-03-06,141,303,172,4863,170
2017-03-07,103,258,148,4876,135
2017-03-08,117,242,133,4862,147
2017-03-09,133,246,129,4873,118
2017-03-10,139,271,114,4796,191
2017-03-11,120,300,91,4781,106
2017-03-12,129,303,126,4820,87
2017-03-13,144,304,143,4810,153
2017-03-14,176,312,168,4865,113
2017-03-15,136,259,189,4878,176
2017-03-16,132,245,146,4877,147
2017-03-17,162,287,120,4858,139
2017-03-18,102,277,112,4876,94
2017-03-19,136,305,108,4909,75
2017-03-20,153,319,139,4928,120
2017-03-21,147,317,149,4918,159
2017-03-22,191,359,149,4949,118
2017-03-23,137,315,181,4978,152
2017-03-24,205,362,158,4985,151
2017-03-25,124,356,130,5011,104
2017-03-26,106,284,178,5095,94
2017-03-27,152,267,169,5076,188
2017-03-28,128,237,158,5073,161
2017-03-29,135,241,131,5076,128
2017-03-30,160,293,108,5053,131
2017-03-31,164,308,149,5055,147
2017-04-01,113,302,119,5077,97
2017-04-02,144,349,97,5088,86
2017-04-03,174,355,168,5116,140
2017-04-04,181,322,214,5078,252
2017-04-05,158,326,154,5075,157
2017-04-06,179,326,179,5125,129
2017-04-07,110,241,195,5199,121
2017-04-08,118,282,77,5207,69
2017-04-09,109,295,96,5209,94
2017-04-10,149,270,174,5232,151
2017-04-11,134,266,138,5217,153
2017-04-12,142,262,146,5248,115
2017-04-13,194,319,137,5245,140
2017-04-14,142,290,171,5250,166
2017-04-15,132,307,115,5281,84
2017-04-16,120,297,130,5317,94
2017-04-17,148,273,172,5321,168
2017-04-18,146,289,130,5293,158
2017-04-19,156,292,153,5282,164
2017-04-20,174,316,150,5298,134
2017-04-21,187,342,161,5318,141
2017-04-22,130,342,130,5331,117
2017-04-23,135,341,136,5386,81
2017-04-24,123,292,172,5415,143
2017-04-25,144,270,166,5443,138
2017-04-26,168,300,138,5416,165
2017-04-27,166,302,164,5416,164
2017-04-28,151,292,161,5390,187
2017-04-29,142,333,101,5418,73
2017-04-30,133,344,122,5436,104
2017-05-01,158,342,160,5396,200
2017-05-02,138,247,233,5514,115
2017-05-03,125,227,145,5482,177
2017-05-04,139,220,146,5478,150
2017-05-05,85,184,121,5453,146
2017-05-06,119,233,70,5417,106
2017-05-07,65,213,85,5406,96
2017-05-08,102,196,119,5360,165
2017-05-09,141,228,109,5305,164
2017-05-10,142,240,130,5277,158
2017-05-11,111,222,129,5254,152
2017-05-12,118,242,98,5202,150
2017-05-13,138,286,94,5187,109
2017-05-14,104,263,127,5234,80
2017-05-15,185,311,137,5219,152
2017-05-16,132,221,222,5298,143
2017-05-17,140,228,133,5268,163
2017-05-18,168,295,101,5196,173
2017-05-19,135,270,160,5190,166
2017-05-20,96,269,97,5194,93
2017-05-21,110,262,117,5229,82
2017-05-22,131,256,137,5213,153
2017-05-23,107,222,141,5217,137
2017-05-24,127,238,111,5187,141
2017-05-25,118,223,133,5194,126
2017-05-26,152,245,130,5178,146
2017-05-27,113,261,97,5185,90
2017-05-28,107,274,94,5191,88
2017-05-29,130,268,136,5155,172
2017-05-30,136,273,131,5158,128
2017-05-31,145,275,143,5153,148
2017-06-01,97,223,149,5141,161
2017-06-02,96,200,119,5098,162
2017-06-03,113,252,61,5072,87
2017-06-04,90,231,111,5112,71
2017-06-05,91,193,129,5115,126
2017-06-06,120,221,92,5058,149
2017-06-07,121,221,121,5061,118
2017-06-08,89,178,132,5051,142
2017-06-09,116,222,72,4973,150
2017-06-10,107,238,91,4962,102
2017-06-11,101,249,90,4961,91
2017-06-12,124,234,139,4968,132
2017-06-13,91,193,132,4952,148
2017-06-14,118,215,96,4945,103
2017-06-15,107,185,137,4924,158
2017-06-16,105,188,102,4862,164
2017-06-17,109,232,65,4855,72
2017-06-18,119,260,91,4873,73
2017-06-19,147,265,142,4857,158
2017-06-20,137,241,161,4844,174
2017-06-21,111,222,130,4842,132
2017-06-22,119,213,128,4821,149
2017-06-23,126,220,119,4815,125
2017-06-24,97,231,86,4813,88
2017-06-25,97,221,107,4850,70
2017-06-26,127,215,133,4857,126
2017-06-27,111,200,126,4836,147
2017-06-28,101,210,91,4812,115
2017-06-29,106,191,125,4785,152
2017-06-30,124,216,99,4760,124
2017-07-01,79,211,84,4750,94
2017-07-02,83,222,72,4740,82
2017-07-03,103,196,129,4760,109
2017-07-04,88,169,115,4749,126
2017-07-05,104,191,82,4690,141
2017-07-06,98,199,90,4638,142
2017-07-07,77,169,107,4611,134
2017-07-08,98,212,55,4592,74
2017-07-09,73,208,77,4597,72
2017-07-10,72,177,103,4554,146
2017-07-11,79,150,106,4510,150
2017-07-12,79,150,79,4471,118
2017-07-13,93,163,80,4408,143
2017-07-14,89,161,91,4370,129
2017-07-15,75,168,68,4339,99
2017-07-16,86,192,62,4329,72
2017-07-17,98,192,98,4332,95
2017-07-18,97,188,101,4329,104
2017-07-19,99,189,98,4273,154
2017-07-20,102,174,117,4250,140
2017-07-21,67,129,112,4238,124
2017-07-22,75,157,47,4212,73
2017-07-23,57,146,68,4206,74
2017-07-24,93,174,65,4140,131
2017-07-25,93,174,93,4140,93
2017-07-26,109,197,86,4103,123
2017-07-27,111,189,119,4116,106
2017-07-28,96,194,91,4054,153
2017-07-29,73,190,77,4064,67
2017-07-30,85,208,67,4058,73
2017-07-31,86,179,115,4047,126
2017-08-01,78,139,118,4053,112
2017-08-02,91,158,72,3987,138
2017-08-03,72,139,91,3972,106
2017-08-04,88,150,77,3952,97
2017-08-05,73,166,57,3945,64
2017-08-06,57,157,66,3957,54
2017-08-07,90,157,90,3944,103
2017-08-08,87,154,90,3927,107
2017-08-09,79,154,79,3883,123
2017-08-10,70,146,78,3857,104
2017-08-11,69,148,67,3796,128
2017-08-12,61,152,57,3785,68
2017-08-13,72,173,51,3758,78
2017-08-14,68,137,104,3761,101
2017-08-15,83,142,78,3716,123
2017-08-16,65,130,77,3683,110
2017-08-17,76,139,67,3645,105
2017-08-18,79,139,79,3625,99
2017-08-19,96,190,45,3596,74
2017-08-20,54,166,78,3607,67
2017-08-21,97,155,108,3624,91
2017-08-22,80,140,95,3623,96
2017-08-23,83,141,82,3608,97
2017-08-24,79,145,75,3559,124
2017-08-25,83,158,70,3522,107
2017-08-26,65,157,66,3517,71
2017-08-27,83,182,58,3503,72
2017-08-28,73,146,109,3514,98
2017-08-29,93,165,74,3496,92
2017-08-30,71,141,95,3480,111
2017-08-31,77,137,81,3459,102
2017-09-01,61,118,80,3420,119
2017-09-02,66,144,40,3401,59
2017-09-03,76,172,48,3381,68
2017-09-04,71,156,87,3367,101
2017-09-05,70,135,91,3355,103
2017-09-06,61,113,83,3328,110
2017-09-07,70,124,59,3303,84
2017-09-08,57,119,62,3265,100
2017-09-09,53,125,47,3251,61
2017-09-10,64,148,41,3224,68
2017-09-11,88,152,84,3186,122
2017-09-12,110,193,69,3167,88
2017-09-13,66,167,92,3179,80
2017-09-14,90,160,97,3196,80
2017-09-15,75,149,86,3211,71
2017-09-16,60,146,63,3231,43
2017-09-17,66,152,60,3240,51
2017-09-18,73,144,81,3237,84
2017-09-19,74,140,78,3223,92
2017-09-20,68,137,71,3194,100
2017-09-21,59,110,86,3175,105
2017-09-22,57,113,54,3136,93
2017-09-23,68,139,42,3127,51
2017-09-24,59,152,46,3117,56
2017-09-25,66,145,73,3089,101
2017-09-26,72,147,70,3075,84
2017-09-27,82,158,71,3067,79
2017-09-28,74,137,95,3066,96
2017-09-29,65,133,69,3039,96
2017-09-30,74,152,55,3034,60
2017-10-01,102,199,55,3033,56
2017-10-02,102,203,98,3055,76
2017-10-03,109,185,127,3068,114
2017-10-04,114,205,94,3079,83
2017-10-05,112,184,133,3138,74
2017-10-06,104,188,100,3133,105
2017-10-07,88,218,58,3131,60
2017-10-08,87,214,91,3160,62
2017-10-09,80,162,132,3165,127
2017-10-10,105,197,70,3149,86
2017-10-11,77,170,104,3139,114
2017-10-12,84,156,98,3153,84
2017-10-13,115,189,82,3137,98
2017-10-14,91,216,64,3153,48
2017-10-15,100,225,91,3184,60
2017-10-16,91,186,130,3230,84
2017-10-17,79,167,98,3229,99
2017-10-18,91,157,101,3243,87
2017-10-19,96,162,91,3258,76
2017-10-20,96,170,88,3244,102
2017-10-21,95,202,63,3255,52
2017-10-22,76,180,98,3299,54
2017-10-23,100,198,82,3295,86
2017-10-24,81,174,105,3306,94
2017-10-25,101,182,93,3311,88
2017-10-26,94,168,108,3309,110
2017-10-27,84,161,91,3297,103
2017-10-28,77,175,63,3303,57
2017-10-29,78,193,60,3318,45
2017-10-30,91,194,90,3303,105
2017-10-31,123,211,106,3322,87
2017-11-01,110,208,113,3336,99
2017-11-02,108,201,115,3358,93
2017-11-03,81,160,122,3384,96
2017-11-04,83,192,51,3381,54
2017-11-05,91,218,65,3386,60
2017-11-06,101,205,114,3385,115
2017-11-07,137,228,114,3411,88
2017-11-08,109,208,129,3466,74
2017-11-09,135,247,96,3463,99
2017-11-10,113,219,141,3500,104
2017-11-11,95,223,91,3527,64
2017-11-12,93,238,78,3536,69
2017-11-13,112,235,115,3500,151
2017-11-14,145,252,128,3533,95
2017-11-15,79,173,158,3585,106
2017-11-16,82,162,93,3566,112
2017-11-17,103,170,95,3528,133
2017-11-18,95,202,63,3524,67
2017-11-19,105,222,85,3549,60
2017-11-20,120,221,121,3571,99
2017-11-21,105,190,136,3611,96
2017-11-22,130,221,99,3605,105
2017-11-23,130,224,127,3618,114
2017-11-24,115,222,117,3635,100
2017-11-25,110,254,78,3657,56
2017-11-26,99,245,108,3686,79
2017-11-27,103,226,122,3700,108
2017-11-28,124,202,148,3752,96
2017-11-29,113,210,105,3742,115
2017-11-30,112,209,113,3760,95
2017-12-01,169,253,125,3777,108
2017-12-02,79,239,93,3798,72
2017-12-03,93,231,101,3826,73
2017-12-04,113,225,119,3849,96
2017-12-05,128,231,122,3816,155
2017-12-06,130,227,134,3851,99
2017-12-07,108,209,126,3875,102
2017-12-08,117,219,107,3854,128
2017-12-09,101,220,100,3877,77
2017-12-10,166,322,64,3853,88
2017-12-11,178,328,172,3920,105
2017-12-12,127,287,168,3977,111
2017-12-13,128,247,168,4044,101
2017-12-14,114,210,151,4093,102
2017-12-15,102,184,128,4132,89
2017-12-16,113,235,62,4116,78
2017-12-17,99,238,96,4139,73
2017-12-18,134,233,139,4130,148
2017-12-19,106,201,138,4146,122
2017-12-20,121,208,114,4159,101
2017-12-21,138,235,111,4142,128
2017-12-22,143,245,133,4158,117
2017-12-23,122,264,103,4179,82
2017-12-24,94,264,94,4209,64
2017-12-25,154,255,163,4234,138
2017-12-26,120,248,127,4250,111
2017-12-27,149,259,138,4262,126
2017-12-28,135,233,161,4312,111
2017-12-29,110,216,127,4311,128
2017-12-30,110,252,74,4315,70
2017-12-31,121,282,91,4328,78
2018-01-01,175,288,169,4355,142
2018-01-02,156,281,163,4375,143
2018-01-03,201,365,117,4347,145
2018-01-04,186,398,153,4391,109
2018-01-05,153,316,235,4515,111
2018-01-06,152,350,118,4563,70
2018-01-07,181,403,128,4628,63
2018-01-08,214,399,218,4723,123
2018-01-09,133,283,249,4848,124
2018-01-10,139,237,185,4893,140
2018-01-11,199,335,101,4826,168
2018-01-12,136,314,157,4808,175
2018-01-13,111,289,136,4878,66
2018-01-14,126,291,124,4932,70
2018-01-15,170,304,157,4960,129
2018-01-16,157,330,131,4949,142
2018-01-17,145,283,192,4991,150
2018-01-18,144,268,159,5028,122
2018-01-19,143,266,145,5011,162
2018-01-20,119,276,109,5033,87
2018-01-21,191,364,103,5046,90
2018-01-22,167,341,190,5091,145
2018-01-23,182,341,182,5107,166
2018-01-24,148,313,176,5125,158
2018-01-25,155,301,167,5156,136
2018-01-26,143,295,149,5184,121
2018-01-27,91,265,121,5204,101
2018-01-28,110,280,95,5224,75
2018-01-29,121,255,146,5216,154
2018-01-30,114,235,134,5212,138
2018-01-31,133,219,149,5226,135
2018-02-01,217,330,106,5167,165
2018-02-02,176,292,214,5240,141
2018-02-03,183,373,102,5252,90
2018-02-04,160,377,156,5304,104
2018-02-05,200,375,202,5359,147
2018-02-06,155,329,201,5405,155
2018-02-07,192,338,183,5452,136
2018-02-08,198,348,188,5490,150
2018-02-09,163,339,172,5525,137
2018-02-10,164,370,133,5578,80
2018-02-11,164,391,143,5607,114
2018-02-12,163,303,251,5701,157
2018-02-13,150,295,158,5720,139
2018-02-14,148,289,154,5709,165
2018-02-15,180,330,139,5693,155
2018-02-16,186,339,177,5710,160
2018-02-17,134,337,136,5742,104
2018-02-18,151,357,131,5775,98
2018-02-19,193,352,198,5813,160
2018-02-20,195,380,167,5832,148
2018-02-21,224,374,230,5924,138
2018-02-22,215,413,176,5935,165
2018-02-23,153,322,244,6037,142
2018-02-24,194,401,115,6040,112
2018-02-25,139,385,155,6088,107
2018-02-26,208,425,168,6081,175
2018-02-27,179,348,256,6148,189
2018-02-28,167,307,208,6160,196
2018-03-01,141,277,171,6145,186
2018-03-02,180,327,130,6118,157
2018-03-03,124,330,121,6125,114
2018-03-04,181,391,120,6135,110
2018-03-05,232,380,243,6198,180
2018-03-06,164,332,212,6254,156
2018-03-07,193,360,165,6253,166
2018-03-08,165,337,188,6265,176
2018-03-09,168,295,210,6269,206
2018-03-10,176,370,101,6278,92
2018-03-11,156,379,147,6315,110
2018-03-12,240,441,178,6307,186
2018-03-13,172,369,244,6340,211
2018-03-14,214,360,223,6415,148
2018-03-15,187,360,187,6409,193
2018-03-16,208,311,257,6468,198
2018-03-17,146,337,120,6452,136
2018-03-18,156,356,137,6480,109
2018-03-19,181,338,199,6512,167
2018-03-20,163,323,178,6432,258
2018-03-21,204,360,167,6397,202
2018-03-22,203,353,210,6379,228
2018-03-23,202,376,179,6361,197
2018-03-24,197,410,163,6439,85
2018-03-25,195,446,159,6472,126
2018-03-26,174,370,250,6538,184
2018-03-27,195,331,234,6578,194
2018-03-28,168,329,170,6582,166
2018-03-29,185,348,166,6565,183
2018-03-30,169,303,214,6582,197
2018-03-31,200,398,105,6539,148
2018-04-01,160,408,150,6545,144
2018-04-02,173,373,208,6520,233
2018-04-03,214,346,241,6545,216
2018-04-04,129,266,209,6554,200
2018-04-05,132,244,154,6498,210
2018-04-06,201,331,114,6416,196
2018-04-07,153,350,134,6448,102
2018-04-08,158,388,120,6454,114
2018-04-09,146,319,215,6469,200
2018-04-10,178,360,137,6379,227
2018-04-11,241,405,196,6398,177
2018-04-12,202,403,204,6448,154
2018-04-13,183,390,196,6414,230
2018-04-14,142,368,164,6464,114
2018-04-15,143,381,130,6471,123
2018-04-16,130,258,253,6512,212
2018-04-17,186,319,125,6453,184
2018-04-18,203,368,154,6423,184
2018-04-19,141,297,212,6436,199
2018-04-20,162,277,182,6464,154
2018-04-21,127,293,111,6466,109
2018-04-22,131,310,114,6471,109
2018-04-23,180,314,176,6477,170
2018-04-24,130,260,184,6497,164
2018-04-25,196,329,127,6438,186
2018-04-26,200,329,200,6455,183
2018-04-27,172,309,192,6461,186
2018-04-28,104,270,143,6499,105
2018-04-29,131,303,98,6498,99
2018-04-30,215,379,139,6464,173
2018-05-01,106,288,197,6483,178
2018-05-02,153,289,152,6449,186
2018-05-03,135,249,175,6458,166
2018-05-04,182,293,138,6370,226
2018-05-05,124,298,119,6376,113
2018-05-06,146,341,103,6374,105
2018-05-07,176,353,164,6353,185
2018-05-08,213,345,221,6400,174
2018-05-09,157,277,225,6448,177
2018-05-10,171,292,156,6440,164
2018-05-11,129,237,184,6465,159
2018-05-12,164,311,90,6442,113
2018-05-13,122,311,122,6461,103
2018-05-14,148,287,172,6472,161
2018-05-15,161,267,181,6425,228
2018-05-16,128,236,159,6426,158
2018-05-17,167,266,137,6411,152
2018-05-18,187,318,135,6356,190
2018-05-19,143,340,121,6377,100
2018-05-20,108,307,141,6406,112
2018-05-21,158,276,189,6374,221
2018-05-22,181,319,138,6329,183
2018-05-23,122,253,188,6317,200
2018-05-24,137,225,165,6301,181
2018-05-25,184,301,108,6229,180
2018-05-26,143,333,111,6228,112
2018-05-27,146,344,135,6264,99
2018-05-28,214,365,193,6267,190
2018-05-29,173,353,185,6280,172
2018-05-30,178,297,234,6338,176
2018-05-31,243,409,131,6297,172
2018-06-01,133,319,223,6347,173
2018-06-02,104,280,143,6369,121
2018-06-03,125,303,102,6371,100
2018-06-04,147,279,171,6381,161
2018-06-05,127,268,138,6334,185
2018-06-06,118,261,125,6262,197
2018-06-07,195,328,128,6213,177
2018-06-08,145,315,158,6194,177
2018-06-09,105,296,124,6207,111
2018-06-10,134,306,124,6207,124
2018-06-11,135,264,177,6165,219
2018-06-12,132,251,145,6134,176
2018-06-13,150,290,111,6054,191
2018-06-14,113,251,152,6066,140
2018-06-15,145,263,133,6034,165
2018-06-16,156,338,81,6002,113
2018-06-17,125,350,113,6025,90
2018-06-18,130,278,202,6050,177
2018-06-19,128,217,189,6095,144
2018-06-20,129,219,127,6075,147
2018-06-21,132,241,110,5936,249
2018-06-22,130,242,129,5904,161
2018-06-23,134,276,100,5917,87
2018-06-24,90,252,114,5919,112
2018-06-25,157,270,139,5853,205
2018-06-26,130,270,130,5819,164
2018-06-27,146,280,136,5798,157
2018-06-28,116,253,143,5773,168
2018-06-29,168,296,125,5731,167
2018-06-30,141,346,91,5734,88
2018-07-01,111,325,132,5768,98
2018-07-02,90,217,198,5804,162
2018-07-03,129,253,93,5765,132
2018-07-04,121,221,153,5749,169
2018-07-05,89,202,108,5697,160
2018-07-06,113,210,105,5623,179
2018-07-07,102,237,75,5591,107
2018-07-08,105,248,94,5588,97
2018-07-09,117,212,153,5580,161
2018-07-10,119,236,95,5527,148
2018-07-11,142,257,121,5455,193
2018-07-12,137,261,133,5429,159
2018-07-13,74,204,131,5393,167
2018-07-14,92,214,82,5394,81
2018-07-15,94,239,69,5348,115
2018-07-16,87,175,151,5340,159
2018-07-17,115,193,97,5267,170
2018-07-18,137,225,105,5214,158
2018-07-19,96,195,126,5211,129
2018-07-20,119,219,95,5188,118
2018-07-21,84,218,85,5183,90
2018-07-22,87,215,90,5191,82
2018-07-23,142,231,126,5187,130
2018-07-24,105,196,140,5192,135
2018-07-25,122,219,99,5117,174
2018-07-26,86,185,120,5068,169
2018-07-27,150,247,88,4998,158
2018-07-28,106,235,118,5029,87
2018-07-29,94,250,79,5030,78
2018-07-30,124,226,148,5042,136
2018-07-31,92,191,127,4991,178
2018-08-01,114,196,109,4993,107
2018-08-02,91,187,100,4950,143
2018-08-03,93,194,86,4893,143
2018-08-04,75,187,82,4902,73
2018-08-05,74,184,77,4901,78
2018-08-06,106,201,89,4838,152
2018-08-07,99,189,111,4783,166
2018-08-08,105,201,93,4750,126
2018-08-09,95,177,119,4757,112
2018-08-10,103,181,99,4694,162
2018-08-11,76,175,82,4693,83
2018-08-12,114,228,61,4681,73
2018-08-13,75,181,122,4662,141
2018-08-14,116,212,85,4624,123
2018-08-15,117,213,116,4614,126
2018-08-16,84,184,113,4596,131
2018-08-17,134,213,105,4581,120
2018-08-18,94,213,94,4601,74
2018-08-19,94,232,75,4582,94
2018-08-20,96,194,134,4561,155
2018-08-21,92,194,92,4518,135
2018-08-22,93,182,105,4466,157
2018-08-23,101,166,117,4405,178
2018-08-24,118,196,88,4355,138
2018-08-25,83,210,69,4333,91
2018-08-26,71,190,91,4353,71
2018-08-27,108,196,102,4360,95
2018-08-28,110,182,124,4340,144
2018-08-29,105,194,93,4325,108
2018-08-30,107,207,94,4238,181
2018-08-31,92,184,115,4255,98
2018-09-01,65,173,76,4245,86
2018-09-02,66,168,71,4249,67
2018-09-03,69,149,88,4222,115
2018-09-04,92,167,74,4178,118
2018-09-05,87,157,97,4162,113
2018-09-06,83,160,80,4130,112
2018-09-07,57,126,91,4088,133
2018-09-08,62,136,52,4068,72
2018-09-09,89,176,49,4047,70
2018-09-10,80,168,88,4014,121
2018-09-11,94,162,100,4024,90
2018-09-12,72,132,102,4022,104
2018-09-13,110,174,68,3973,117
2018-09-14,87,160,101,3965,109
2018-09-15,79,171,68,3949,84
2018-09-16,107,222,56,3915,90
2018-09-17,111,216,117,3931,101
2018-09-18,85,157,144,3969,106
2018-09-19,81,131,107,3971,105
2018-09-20,84,146,69,3939,101
2018-09-21,96,165,77,3895,121
2018-09-22,74,188,51,3881,65
2018-09-23,71,192,67,3880,68
2018-09-24,110,206,96,3852,124
2018-09-25,87,157,136,3899,89
2018-09-26,125,216,66,3845,120
2018-09-27,90,202,104,3847,102
2018-09-28,116,198,120,3869,98
2018-09-29,79,197,80,3878,71
2018-09-30,87,197,87,3895,70
2018-10-01,129,217,109,3863,141
2018-10-02,126,234,109,3836,136
2018-10-03,154,242,146,3886,96
2018-10-04,167,286,123,3903,106
2018-10-05,144,239,191,3993,101
2018-10-06,100,254,85,4000,78
2018-10-07,99,273,80,4022,58
2018-10-08,116,230,159,4067,114
2018-10-09,110,234,106,4032,141
2018-10-10,146,254,126,4066,92
2018-10-11,170,281,143,4078,131
2018-10-12,143,236,188,4129,137
2018-10-13,87,234,89,4134,84
2018-10-14,119,268,85,4143,76
2018-10-15,140,256,152,4168,127
2018-10-16,197,323,130,4167,131
2018-10-17,115,233,205,4252,120
2018-10-18,135,256,112,4237,127
2018-10-19,186,292,150,4277,110
2018-10-20,131,314,109,4320,66
2018-10-21,133,326,121,4360,81
2018-10-22,146,257,215,4447,128
2018-10-23,151,261,147,4479,115
2018-10-24,161,290,132,4447,164
2018-10-25,127,228,189,4480,156
2018-10-26,164,272,120,4496,104
2018-10-27,99,267,104,4525,75
2018-10-28,128,290,105,4560,70
2018-10-29,148,253,185,4627,118
2018-10-30,131,242,142,4637,132
2018-10-31,143,264,121,4660,98
2018-11-01,154,283,135,4636,159
2018-11-02,144,270,157,4664,129
2018-11-03,137,313,94,4664,94
2018-11-04,122,317,118,4710,72
2018-11-05,178,325,170,4741,139
2018-11-06,143,282,186,4805,122
2018-11-07,189,336,135,4764,176
2018-11-08,142,284,194,4792,166
2018-11-09,156,306,134,4751,175
2018-11-10,131,310,127,4802,76
2018-11-11,176,373,113,4816,99
2018-11-12,178,307,244,4941,119
2018-11-13,164,323,148,4935,154
2018-11-14,183,320,186,4988,133
2018-11-15,124,260,184,5046,126
2018-11-16,169,308,121,5022,145
2018-11-17,195,398,105,5047,80
2018-11-18,147,399,146,5080,113
2018-11-19,171,348,222,5124,178
2018-11-20,184,357,175,5168,131
2018-11-21,194,365,186,5197,157
2018-11-22,126,286,205,5254,148
2018-11-23,132,258,160,5271,143
2018-11-24,149,316,91,5275,87
2018-11-25,129,322,123,5285,113
2018-11-26,207,349,180,5264,201
2018-11-27,162,290,221,5321,164
2018-11-28,127,249,168,5347,142
2018-11-29,140,240,149,5325,171
2018-11-30,112,223,129,5275,179
2018-12-01,169,305,87,5257,105
2018-12-02,170,359,116,5289,84
2018-12-03,193,373,179,5281,187
2018-12-04,242,418,197,5312,166
2018-12-05,246,456,208,5372,148
2018-12-06,201,430,227,5451,148
2018-12-07,149,314,265,5557,159
2018-12-08,192,384,122,5595,84
2018-12-09,190,428,146,5653,88
2018-12-10,216,389,255,5706,202
2018-12-11,239,458,170,5729,147
2018-12-12,173,390,241,5833,137
2018-12-13,278,448,220,5912,141
2018-12-14,178,341,285,6033,164
2018-12-15,196,422,115,6037,111
2018-12-16,136,366,192,6118,111
2018-12-17,179,352,193,6120,191
2018-12-18,258,445,165,6101,184
2018-12-19,198,414,229,6143,187
2018-12-20,233,408,239,6243,139
2018-12-21,213,389,232,6272,203
2018-12-22,172,401,160,6332,100
